iter	Logloss
0	0.6862723653
1	0.6825658752
2	0.6785236452
3	0.6742120138
4	0.6703392122
5	0.6656304336
6	0.6613752784
7	0.6563824909
8	0.6519091536
9	0.6461736167
10	0.6411587785
11	0.6361173304
12	0.6321501383
13	0.6279530409
14	0.6242147771
15	0.6187133324
16	0.6144091443
17	0.6102642431
18	0.6059109758
19	0.6025326426
20	0.5992226484
21	0.5942063681
22	0.5900720736
23	0.5858182209
24	0.5810901828
25	0.5774268639
26	0.5727765153
27	0.5690240162
28	0.5660063116
29	0.5633149496
30	0.5609148537
31	0.5569547328
32	0.5542883524
33	0.5502138836
34	0.5463006555
35	0.5435782177
36	0.5402246801
37	0.5368342981
38	0.5335234665
39	0.5304854788
40	0.5265864861
41	0.5229508935
42	0.5182393237
43	0.5157648412
44	0.5125854771
45	0.5087502177
46	0.50489742
47	0.5023985607
48	0.4991843061
49	0.4966011513
50	0.4932145375
51	0.4898111297
52	0.4864989025
53	0.4834897576
54	0.4806679516
55	0.4780349266
56	0.4745960236
57	0.4722092791
58	0.4696226353
59	0.4673758716
60	0.4648855256
61	0.462387085
62	0.4600913815
63	0.4566141454
64	0.4538349059
65	0.4507169491
66	0.4481002994
67	0.4453733026
68	0.4426814754
69	0.4400987393
70	0.4378218302
71	0.4358228358
72	0.4331603167
73	0.4305581349
74	0.4282278666
75	0.4260123648
76	0.4238948357
77	0.4211033147
78	0.4185108092
79	0.4159130003
80	0.4129654489
81	0.4107564601
82	0.4082619272
83	0.4066706402
84	0.4040916722
85	0.4011401665
86	0.398771286
87	0.3968006227
88	0.3942263533
89	0.3921787913
90	0.3901640031
91	0.3881293739
92	0.3858503481
93	0.3839751918
94	0.3821412063
95	0.3798552257
96	0.3773009137
97	0.3756439628
98	0.3735270151
99	0.3715033182
100	0.3699273831
101	0.3675564091
102	0.3656143561
103	0.3640501441
104	0.3619844855
105	0.3594780433
106	0.3570389399
107	0.3555312738
108	0.3535606803
109	0.3515875747
110	0.3499178072
111	0.3484640121
112	0.3462850757
113	0.3447227943
114	0.3430782644
115	0.3415746224
116	0.3399850566
117	0.3383826744
118	0.3368140197
119	0.3349053918
120	0.3332281578
121	0.3312712879
122	0.3293520299
123	0.3277683025
124	0.3260973023
125	0.3248190531
126	0.3229424546
127	0.3215691171
128	0.3202963573
129	0.3187738279
130	0.3173223821
131	0.3150744089
132	0.3135393887
133	0.3116620692
134	0.310315295
135	0.3087348705
136	0.3073015446
137	0.3055472258
138	0.3038841806
139	0.3019679698
140	0.300501335
141	0.2990445393
142	0.2973494646
143	0.2958058148
144	0.2947561218
145	0.2930233188
146	0.2913513649
147	0.2899043851
148	0.2888488304
149	0.2876565049
150	0.2867077153
151	0.2851542961
152	0.2834801558
153	0.2820559246
154	0.280780234
155	0.2791729671
156	0.2780873368
157	0.2762837526
158	0.275230966
159	0.2742483558
160	0.2731673543
161	0.2719931254
162	0.271100021
163	0.2697830433
164	0.2686103728
165	0.267260691
166	0.2660066325
167	0.2651450692
168	0.2642470337
169	0.2630798991
170	0.261541227
171	0.2603096846
172	0.2592150758
173	0.2582082516
174	0.2569077655
175	0.2556018829
176	0.2547242234
177	0.2537014194
178	0.2524490822
179	0.25136087
180	0.2503923788
181	0.2492212435
182	0.2481293795
183	0.2470411208
184	0.246089284
185	0.2451452395
186	0.2441898439
187	0.2432221203
188	0.2420716867
189	0.2409492586
190	0.2400831827
191	0.2389670581
192	0.2379344615
193	0.2369410352
194	0.2355834217
195	0.2345336356
196	0.2338753444
197	0.2328728466
198	0.2319377108
199	0.2307330341
200	0.2296691522
201	0.2287571372
202	0.2279814743
203	0.2264745759
204	0.2257609018
