iter	Passed	Remaining
0	4	4486
1	6	3444
2	9	3306
3	12	3074
4	23	4725
5	26	4450
6	29	4142
7	31	3956
8	34	3803
9	37	3676
10	39	3579
11	42	3495
12	45	3438
13	47	3361
14	50	3313
15	52	3248
16	55	3211
17	57	3161
18	60	3139
19	63	3102
20	66	3080
21	68	3052
22	71	3031
23	73	2998
24	76	2970
25	78	2951
26	81	2922
27	84	2934
28	86	2908
29	89	2902
30	92	2876
31	95	2885
32	97	2871
33	100	2861
34	103	2844
35	105	2824
36	107	2809
37	110	2790
38	113	2785
39	115	2773
40	118	2768
41	121	2760
42	123	2752
43	125	2735
44	128	2733
45	131	2718
46	133	2704
47	135	2688
48	137	2671
49	140	2663
50	142	2650
51	144	2637
52	146	2626
53	149	2614
54	151	2609
55	154	2599
56	157	2600
57	159	2589
58	161	2579
59	164	2569
60	166	2557
61	168	2553
62	171	2543
63	174	2547
64	176	2542
65	179	2533
66	181	2523
67	183	2512
68	185	2506
69	188	2499
70	190	2493
71	192	2486
72	195	2477
73	197	2473
74	199	2465
75	202	2460
76	204	2454
77	206	2445
78	209	2439
79	211	2430
80	213	2425
81	215	2418
82	218	2412
83	220	2408
84	223	2402
85	225	2399
86	227	2392
87	230	2386
88	232	2379
89	234	2372
90	237	2368
91	239	2360
92	241	2353
93	243	2347
94	245	2340
95	248	2338
96	250	2332
97	252	2327
98	255	2322
99	257	2316
100	259	2313
101	262	2307
102	264	2303
103	266	2297
104	268	2290
105	271	2287
106	273	2281
107	275	2276
108	277	2270
109	279	2264
110	282	2261
111	284	2256
112	286	2251
113	289	2247
114	291	2241
115	293	2239
116	296	2236
117	298	2232
118	300	2227
119	303	2222
120	305	2219
121	307	2214
122	310	2211
123	312	2207
124	314	2201
125	317	2201
126	319	2197
127	322	2197
128	325	2195
129	327	2194
130	330	2191
131	332	2187
132	334	2183
133	337	2179
134	339	2176
135	342	2172
136	344	2169
137	346	2165
138	348	2161
139	351	2159
140	353	2156
141	356	2155
142	359	2152
143	363	2158
144	365	2154
145	368	2155
146	370	2152
147	373	2152
148	376	2149
149	379	2149
150	382	2149
151	385	2147
152	387	2145
